N_A,N_B,cost_yuan,p_self_lower
5,33,0.12951215714423922,0.9402180330416009
5,34,0.13118767322615377,0.9426093117199369
5,35,0.13286318930806834,0.9449049392511394
5,36,0.1345387053899829,0.9471087416810938
5,37,0.13621422147189743,0.9492243920138501
5,38,0.137889737553812,0.951255416333296
5,39,0.13956525363572658,0.9532051996799642
5,40,0.1412407697176411,0.9550769916927657
5,41,0.14291628579955568,0.956873912025055
5,42,0.14459180188147025,0.9585989555440528
5,43,0.1462673179633848,0.9602549973222907
5,44,0.14794283404529934,0.9618447974293991
5,45,0.14961835012721392,0.9633710055322231
5,46,0.15129386620912846,0.9648361653109342
5,47,0.152969382291043,0.9662427186984969
5,48,0.15464489837295758,0.967593009950557
5,49,0.15632041445487213,0.9688892895525347
5,50,0.15799593053678668,0.9701337179704334
5,51,0.15967144661870125,0.9713283692516159
5,52,0.1613469627006158,0.9724752344815514
5,53,0.16302247878253034,0.9735762251022892
5,54,0.16469799486444492,0.9746331760981977
5,55,0.16637351094635947,0.9756478490542698
5,56,0.168049027028274,0.976621935092099
5,57,0.16972454311018859,0.977557057688415
5,58,0.17140005919210316,0.9784547753808784
5,59,0.17307557527401768,0.9793165843656433
5,60,0.17475109135593225,0.9801439209910175
5,61,0.17642660743784683,0.9809381641513769
5,62,0.17810212351976137,0.9817006375853218
5,63,0.17977763960167592,0.9824326120819089
5,64,0.1814531556835905,0.9831353075986325
5,65,0.18312867176550504,0.9838098952946873
5,66,0.1848041878474196,0.9844574994828997
5,67,0.18647970392933416,0.9850791995035838
5,68,0.1881552200112487,0.9856760315234404
5,69,0.18983073609316325,0.9862489902625028
5,70,0.19150625217507783,0.9867990306520027
5,71,0.19318176825699238,0.9873270694259226
5,72,0.19485728433890692,0.9878339866488857
5,73,0.1965328004208215,0.9883206271829302
5,74,0.19820831650273604,0.988787802095613
5,75,0.19988383258465062,0.9892362900117886
5,76,0.20155934866656516,0.989666838411317
5,77,0.2032348647484797,0.9900801648748643
5,78,0.20491038083039428,0.9904769582798697
5,79,0.20658589691230883,0.9908578799486749
5,80,0.20826141299422338,0.9912235647507279
6,0,0.08906415172927062,0.8286266004905529
6,1,0.09073966781118518,0.8354815364709309
6,2,0.09241518389309973,0.8420622750120936
6,3,0.09409069997501429,0.8483797840116098
6,4,0.09576621605692885,0.8544445926511455
6,5,0.09744173213884341,0.8602668089450997
6,6,0.09911724822075796,0.8658561365872957
6,7,0.10079276430267252,0.8712218911238039
6,8,0.10246828038458708,0.8763730154788517
6,9,0.10414379646650164,0.8813180948596977
6,10,0.10581931254841619,0.8860653710653098
6,11,0.10749482863033075,0.8906227562226974
6,12,0.1091703447122453,0.8949978459737895
6,13,0.11084586079415987,0.8991979321348379
6,14,0.11252137687607441,0.9032300148494444
6,15,0.11419689295798897,0.9071008142554666
6,16,0.11587240903990353,0.9108167816852479
6,17,0.11754792512181808,0.9143841104178381
6,18,0.11922344120373264,0.9178087460011245
6,19,0.1208989572856472,0.9210963961610795
6,20,0.12257447336756175,0.9242525403146363
6,21,0.12424998944947632,0.927282438702051
6,22,0.12592550553139087,0.930191141153969
6,23,0.12760102161330544,0.9329834955078101
6,24,0.12927653769522,0.9356641556874977
6,25,0.13095205377713454,0.9382375894599978
6,26,0.1326275698590491,0.9407080858815979
