eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
86.0,288.21241555586215,-13.00948629158165,0.5890021118374528,275.79193137611793,4.098595965841337,271.6933354102766
87.0,284.8774350519092,-12.92948180944442,0.442563074366144,272.3905163168309,4.098595965841337,268.2919203509895
88.0,281.5179147952375,-12.847690565708449,0.29557837668412495,268.96580260621323,4.098595965841337,264.8672066403719
89.0,278.1403508268109,-12.764124666095645,0.14805506251668252,265.5242812232319,4.098595965841337,261.42568525739057
90.0,274.75079703618417,-12.678796498791884,4.683191197380054e-15,262.0720005373923,4.098595965841337,257.97340457155093
91.0,271.35487139102605,-12.591718732481205,-0.14858012926062694,258.61457252928426,4.098595965841337,254.51597656344293
92.0,267.95776477343685,-12.502904314319416,-0.29767884174593956,255.1571816173715,4.098595965841337,251.05858565153017
93.0,264.5642521111872,-12.412366467847166,-0.4472898642383999,251.70459577910165,4.098595965841337,247.60599981326033
94.0,260.96011463245054,-12.320118690842815,-0.5974071467512572,248.04258879485647,4.098595965841337,243.94399282901514
95.0,257.35586403667276,-12.226174753115513,-0.7480248762276295,244.38166440732962,4.098595965841337,240.2830684414883
96.0,253.79878791845616,-12.130548694238833,-0.8991374910737332,240.7691017331436,4.098595965841337,236.67050576730227
97.0,250.2887416283523,-12.033254821225167,-1.0507396965962326,237.20474711053092,4.098595965841337,233.1061511446896
98.0,246.82553163292943,-11.934307706141379,-1.2028264814212177,233.68839744536683,4.098595965841337,229.5898014795255
99.0,243.40891989847304,-11.83372218366592,-1.355393134980792,230.21980457982633,4.098595965841337,226.121208613985
100.0,240.0386279715395,-11.731513348587693,-1.5084352661635996,226.79867935678823,4.098595965841337,222.7000833909469
101.0,236.71434077497508,-11.627696553247066,-1.661948823235128,223.4246953984929,4.098595965841337,219.32609943265157
102.0,233.43571013704306,-11.522287404919243,-1.815930115146356,220.09749261697746,4.098595965841337,215.99889665113614
103.0,230.2023580703613,-11.4153017631402,-1.970375834363501,216.8166804728576,4.098595965841337,212.71808450701627
104.0,227.0138798164394,-11.30675573697547,-2.125283081365339,213.58184099809858,4.098595965841337,209.48324503225726
105.0,223.8698466707338,-11.196665682231995,-2.280649390972275,210.39253159752954,4.098595965841337,206.2939356316882
106.0,220.76980860229295,-11.085048198613064,-2.4364727606893237,207.24828764299056,4.098595965841337,203.14969167714924
107.0,217.71329668126458,-10.97192012681657,-2.5927516812630147,204.14862487318499,4.098595965841337,200.05002890734366
108.0,214.6998253267586,-10.857298545576606,-2.7494851696723748,201.09304161150962,4.098595965841337,196.9944456456683
109.0,211.72889438683606,-10.741200768648353,-2.906672804790111,198.0810208133976,4.098595965841337,193.98242484755627
110.0,208.79999106168225,-10.622539349620146,-3.0643147659600225,195.11313694610206,4.098595965841337,191.01454098026073
111.0,205.91259168036572,-10.501107128391793,-3.2224118747351627,192.18907267723876,4.098595965841337,188.09047671139743
112.0,203.06616334095128,-10.377692354211938,-3.380965639990693,189.30750534674863,4.098595965841337,185.2089093809073
113.0,200.26016542313363,-10.252695027565464,-3.539978306542851,186.4674920890253,4.098595965841337,182.368896123184
114.0,197.49405098199605,-10.126319555299748,-3.699452907220454,183.66827851947585,4.098595965841337,179.56968255363452
115.0,194.76726803095954,-9.998673089923786,-3.859393317949825,180.90920162308592,4.098595965841337,176.8106056572446
116.0,192.07926072148277,-9.869815395803581,-4.019804314621706,178.1896410110575,4.098595965841337,174.09104504521616
117.0,189.42947042659534,-9.739783714533466,-4.180691628875146,175.50899508318673,4.098595965841337,171.4103991173454
118.0,186.81733673489688,-9.608604888519439,-4.342061996446526,172.86666984993093,4.098595965841337,168.7680738840896
119.0,184.242298361229,-9.47630112132721,-4.5039231838997384,170.26207405600204,4.098595965841337,166.1634780901607
120.0,181.70379397982842,-9.342892638980702,-4.666283960551227,167.69461738029648,4.098595965841337,163.59602141445515
121.0,179.20126298539418,-9.208398883803921,-4.829153930900538,165.16371017068974,4.098595965841337,161.0651142048484
122.0,176.73414618714764,-9.072839034316988,-4.992542978191039,162.66876417463962,4.098595965841337,158.5701682087983
123.0,174.30188644063261,-8.936232225835681,-5.156459378512871,160.20919483628407,4.098595965841337,156.11059887044274
124.0,171.90392922169102,-8.798597643347094,-5.320900308209663,157.78443127013423,4.098595965841337,153.6858353042929
125.0,169.53972314675738,-8.659954563034567,-5.485711080136495,155.3940575035863,4.098595965841337,151.29546153774498
126.0,167.2087204433409,-8.520322375914066,-5.651089473054725,153.0373085943721,4.098595965841337,148.93871262853077
127.0,164.91037737430608,-8.379720608766576,-5.817188420349823,150.71346834518968,4.098595965841337,146.61487237934836
128.0,162.64415461932256,-8.238168950740642,-5.984084235670815,148.4219014329111,4.098595965841337,144.3233054670698
129.0,160.40951761662924,-8.095687292855045,-6.151842392217392,146.1619879315568,4.098595965841337,142.06339196571548
