theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
918.0,0.0004457697379210685,0.0004253077026151362,126.87542376182809,584.0048941762543,46.60283636398562,164400.59811598127,396.40806295048674,0.000308483233894847,-2.264096237296633e-06,2.9326056611725016e-05,101325.0
919.0,0.0004457695317633992,0.0004253075059206609,127.26100339470443,583.6300338944291,46.592034756987836,166121.73712739468,397.61294724962363,0.0003062149089580488,-2.272502453125777e-06,2.9326056611725016e-05,101325.0
920.0,0.0004457693232573278,0.0004253073069855814,127.65188045868686,583.2498493432994,46.58125879697281,167880.09033820702,398.83438601032634,0.00030393833154254295,-2.280601008499907e-06,2.9326056611725016e-05,101325.0
921.0,0.0004457691123968539,0.00042530710580417297,128.0481167306674,582.8642777837093,46.57050943454062,169676.55312178086,400.07257229577095,0.0003016538098604701,-2.2883908070042608e-06,2.9326056611725016e-05,101325.0
922.0,0.0004457688991758024,0.00042530690237054376,128.4497751096337,582.4732553228719,46.559787651574524,171512.04776381786,401.32770267611966,0.00029936165319949546,-2.2958707940248194e-06,2.9326056611725016e-05,101325.0
923.0,0.0004457686835878245,0.0004253066966786365,128.85691963482412,582.0767168952349,46.54909446221561,173387.52435364245,402.59997728526736,0.0002970621718809392,-2.303039956891076e-06,2.9326056611725016e-05,101325.0
924.0,0.000445768465626399,0.0004253064887222293,129.26961550408916,581.6745962431098,46.53843091386957,175303.961707977,403.8895998782324,0.00029475567721776343,-2.3098973250131367e-06,2.9326056611725016e-05,101325.0
925.0,0.00044576824528483333,0.00042530627849493677,129.68792909244917,581.2668258970696,46.52779808824667,177262.3683284292,405.19677788916243,0.0002924424814724244,-2.316441970013128e-06,2.9326056611725016e-05,101325.0
926.0,0.00044576802255626434,0.0004253060659902109,130.11192797083896,580.8533371561261,46.51719710243617,179263.7833939589,406.5217224899242,0.0002901228978145964,-2.3226730058508823e-06,2.9326056611725016e-05,101325.0
927.0,0.00044576779743365927,0.00042530585120134157,130.5416809250269,580.4340600676969,46.50662911001624,181309.27778963422,407.86464864923914,0.000287797240278777,-2.328589588943889e-06,2.9326056611725016e-05,101325.0
928.0,0.0004457675699098163,0.00042530563412145766,130.97725797469627,580.0089234073723,46.496095302200715,183399.95517304324,409.2257751923276,0.00028546582372176803,-2.334190918281508e-06,2.9326056611725016e-05,101325.0
929.0,0.0004457673399773651,0.00042530541474352724,131.41873039267432,579.5778546584977,46.48559690902389,185536.95307976182,410.6053248610141,0.0002831289637800513,-2.339476235533409e-06,2.9326056611725016e-05,101325.0
